driving_experience,type_of_vehicle,lanes_or_medians,road_allignment,types_of_junction,road_surface_conditions,light_conditions,weather_conditions,number_of_vehicles_involved,vehicle_movement,pedestrian_movement,accident_severity
5-10yr,Motorcycle,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Double carriageway (median),Escarpments,Y Shape,Dry,Daylight,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Escarpments,Y Shape,Dry,Daylight,Normal,2.0,Other,Unknown or other,Slight Injury
Above 10yr,Stationwagen,One way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
,,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),other,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Unknown or other,Slight Injury
Below 1yr,Stationwagen,One way,Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Automobile,One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Bicycle,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,other,,Y Shape,Dry,Darkness - lights lit,Normal,1.0,Moving Backward,Crossing from offside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Above 10yr,Public (13?45 seats),other,Tangent road with rolling terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Overtaking,Not a Pedestrian,Slight Injury
Above 10yr,Special vehicle,Double carriageway (median),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,,other,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Serious Injury
2-5yr,Lorry (41?100Q),Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
Below 1yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Undivided Two way,Gentle horizontal curve,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Undivided Two way,Gentle horizontal curve,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
,Public (> 45 seats),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Gentle horizontal curve,No junction,Dry,Daylight,Normal,2.0,Entering a junction,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Unknown or other,Slight Injury
1-2yr,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,4.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,Stationwagen,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Lorry (41?100Q),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Undivided Two way,Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Serious Injury
2-5yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
1-2yr,Lorry (41?100Q),Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Moving Backward,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Pick up upto 10Q,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Waiting to go,Not a Pedestrian,Serious Injury
Below 1yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Other,Not a Pedestrian,Serious Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Motorcycle,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Serious Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Unknown or other,Serious Injury
Below 1yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Serious Injury
Above 10yr,Public (12 seats),Unknown,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Overtaking,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (> 45 seats),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),One way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,Undivided Two way,Tangent road with mountainous terrain and,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Getting off,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Two-way (divided with broken lines road marking),Escarpments,No junction,Dry,Daylight,Normal,3.0,Moving Backward,Not a Pedestrian,Slight Injury
5-10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Getting off,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Overtaking,Not a Pedestrian,Slight Injury
,Public (13?45 seats),Double carriageway (median),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (> 45 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Reversing,Not a Pedestrian,Serious Injury
,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,1.0,Getting off,Not a Pedestrian,Serious Injury
5-10yr,Lorry (11?40Q),Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Public (13?45 seats),Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Reversing,Not a Pedestrian,Slight Injury
Above 10yr,Long lorry,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Stopping,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (11?40Q),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Overtaking,Not a Pedestrian,Slight Injury
Above 10yr,Lorry (41?100Q),Undivided Two way,Tangent road with flat terrain,X Shape,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Public (12 seats),other,Tangent road with flat terrain,X Shape,Dry,Daylight,Normal,4.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Dry,Daylight,Normal,4.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with flat terrain,X Shape,Dry,Daylight,Normal,4.0,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Slight Injury
Below 1yr,,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Waiting to go,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Crossing from driver's nearside,Slight Injury
,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (41?100Q),Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,3.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
1-2yr,Automobile,Double carriageway (median),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Daylight,Normal,1.0,Going straight,Not a Pedestrian,Fatal injury
Above 10yr,Taxi,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Darkness - lights lit,Normal,2.0,Reversing,Crossing from driver's nearside,Slight Injury
2-5yr,,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
2-5yr,Automobile,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Pick up upto 10Q,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
2-5yr,Automobile,,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Public (12 seats),Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Getting off,Not a Pedestrian,Slight Injury
5-10yr,Public (13?45 seats),other,,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Lorry (11?40Q),other,Tangent road with mild grade and flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,other,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
,Ridden horse,,,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Stationwagen,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,2.0,Going straight,Not a Pedestrian,Slight Injury
1-2yr,Automobile,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
2-5yr,Automobile,other,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Serious Injury
1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
5-10yr,Taxi,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Automobile,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,1.0,Going straight,Not a Pedestrian,Slight Injury
Above 10yr,Stationwagen,Double carriageway (median),Escarpments,No junction,Dry,Daylight,Normal,2.0,Reversing,Not a Pedestrian,Slight Injury
5-10yr,Automobile,other,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
Below 1yr,Public (12 seats),Undivided Two way,Escarpments,Y Shape,Dry,Daylight,Normal,2.0,Turnover,Not a Pedestrian,Slight Injury
5-10yr,,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,2.0,Going straight,Not a Pedestrian,Slight Injury
